	BookTitle
1031	The Blank Slate: The Modern Denial of Human Nature
1032	Tom Sawyer Abroad
1033	War for the Oaks
1034	The Garden of Eden
1035	Marabou Stork Nightmares
1036	Darwinia
1037	Journey to the East
1038	Narcissus and Goldmund
1039	The Winds of War
1040	The Wind-Up Bird Chronicle
1041	Maia
1042	True at First Light
1043	Airport
1044	Jitterbug Perfume
1045	Kitchen
1046	Peter Camenzind
1047	The High King
1048	Gathering Blue
1049	Messenger
1050	Veronika Decides to Die
1051	The Songlines
1052	The Prometheus Deception
1053	Anne of Avonlea
1054	Anne of the Island
1055	Anne's House of Dreams
1056	Anne of Windy Poplars
1057	The Napoleon of Notting Hill
1058	The Butter Battle Book
1059	Nova
1060	The Stones Are Hatching
1061	Interstellar Pig
1062	Along Came a Spider
1063	Les Enfants Terribles
1064	The Alienist
1065	Giovanni's Room
1066	Tower of Glass
1067	Callahan's Lady
1068	Hornblower and the Hotspur
1069	The Pigman
1070	Inkheart
1071	Death Is a Lonely Business
1072	Because of Winn-Dixie
1073	In Desert and Wilderness
1074	Nuns and Soldiers
1075	Firewing
1076	Splinter of the Mind's Eye
1077	The Very Hungry Caterpillar
1078	Terminal
1079	Seize the Day
1080	Summer Sisters
1081	War and Remembrance
1082	Damnation Alley
1083	Curtain
1084	A Widow for One Year
1085	The Canterville Ghost
1086	Love! Valour! Compassion!
1087	Isle of the Dead
1088	The Secret Life of Plants
1089	Playback
1090	White Light
1091	The House of the Scorpion
1092	The Lake House
1093	The Children's Story
1094	The Wish List
1095	The Supernaturalist
1096	Intimacy
1097	The Sisterhood of the Traveling Pants
1098	The Lost Years of Merlin
1099	The Book of Laughter and Forgetting
1100	Bitten
1101	The Rule of Four
1102	The Fan Club
1103	Archangel
1104	The Sound of Waves
1105	Death and the King's Horseman
1106	At Bertram's Hotel
1107	The Fallon Blood
1108	Hell House
1109	Anil's Ghost
1110	Heart of a Dog
1111	The Holcroft Covenant
1112	Protector
1113	2001: A Space Odyssey
1114	The Peshawar Lancers
1115	Firefox
1116	A Swiftly Tilting Planet
1117	Hyperion
1118	The Secret History
1119	The Family
1120	Tailchaser's Song
1121	The Ascension Factor
1122	Bend Sinister
1123	Way Station
1124	The Moving Finger
1125	The Testament
1126	A Painted House
1127	Surfacing
1128	The Mad Man
1129	Sons of Fortune
1130	Possession: A Romance
1131	The King Must Die
1132	A Yellow Raft in Blue Water
1133	Katherine
1134	The Mystery of the Blue Train
1135	Mortal Fear
1136	The Angel of Darkness
1137	Songmaster
1138	Cabal
1139	Priestess of Avalon
1140	Lady of Avalon
1141	My Name Is Asher Lev
1142	The Forest House
1143	Make Room! Make Room!
1144	Country of the Blind
1145	The Confessions of Nat Turner
1146	Another Country
1147	Humboldt's Gift
1148	Pigs in Heaven
1149	Antarctica
1150	Tandia
1151	The Prodigal Daughter
1152	A Death in the Family
1153	Kane and Abel
1154	Contest
1155	The Hot Zone
1156	Islands in the Net
1157	Z for Zachariah
1158	The Thirteen-Gun Salute
1159	Jack Faust
1160	Number the Stars
1161	The Duplicate
